COMPOUND_ID/survey_committee	survey committee
COMPOUND_ID/security_spokesman	security spokesman
COMPOUND_ID/screw_eye	screw eye
COMPOUND_ID/ex_president	ex president
COMPOUND_ID/basset_horn	basset horn
COMPOUND_ID/military_target	military target
COMPOUND_ID/gambling_problem	gambling problem
COMPOUND_ID/retirement_fund	retirement fund
COMPOUND_ID/columnar_cell	columnar cell
COMPOUND_ID/fire_hazard	fire hazard
COMPOUND_ID/contract_offer	contract offer
COMPOUND_ID/rehearsal_time	rehearsal time
COMPOUND_ID/information_policy	information policy
COMPOUND_ID/maintenance_contract	maintenance contract
COMPOUND_ID/night_owl	night owl
COMPOUND_ID/coffee_maker	coffee maker
COMPOUND_ID/theater_group	theater group
COMPOUND_ID/counseling_center	counseling center
COMPOUND_ID/cover_price	cover price
COMPOUND_ID/world_press	world press
COMPOUND_ID/modernist_work	modernist work
COMPOUND_ID/bean_plant	bean plant
COMPOUND_ID/presiding_officer	presiding officer
COMPOUND_ID/organ_grinder	organ grinder
COMPOUND_ID/safety_legislation	safety legislation
COMPOUND_ID/emissions_target	emissions target
COMPOUND_ID/electricity_system	electricity system
COMPOUND_ID/flight_maneuver	flight maneuver
COMPOUND_ID/candy_store	candy store
COMPOUND_ID/entertainment_site	entertainment site
COMPOUND_ID/driving_range	driving range
COMPOUND_ID/woman_soldier	woman soldier
COMPOUND_ID/publishing_concern	publishing concern
COMPOUND_ID/neighborhood_group	neighborhood group
COMPOUND_ID/cabaret_style	cabaret style
COMPOUND_ID/council_board	council board
COMPOUND_ID/growth_statistic	growth statistic
COMPOUND_ID/newspaper_photo	newspaper photo
COMPOUND_ID/water_tap	water tap
COMPOUND_ID/defense_department	defense department
COMPOUND_ID/television_industry	television industry
COMPOUND_ID/computer_peripheral	computer peripheral
COMPOUND_ID/cow_barn	cow barn
COMPOUND_ID/china_cabinet	china cabinet
COMPOUND_ID/set_square	set square
COMPOUND_ID/body_process	body process
COMPOUND_ID/launch_system	launch system
COMPOUND_ID/forestry_resource	forestry resource
COMPOUND_ID/golf_bag	golf bag
COMPOUND_ID/bugle_call	bugle call
COMPOUND_ID/huon_pine	huon pine
COMPOUND_ID/health_fair	health fair
COMPOUND_ID/night_guard	night guard
COMPOUND_ID/wind_generator	wind generator
COMPOUND_ID/box_elder	box elder
COMPOUND_ID/bile_salt	bile salt
COMPOUND_ID/muscat_grape	muscat grape
COMPOUND_ID/spring_training	spring training
COMPOUND_ID/ironing_board	ironing board
COMPOUND_ID/state_court	state court
COMPOUND_ID/drogue_chute	drogue chute
COMPOUND_ID/transport_rate	transport rate
COMPOUND_ID/oyster_catcher	oyster catcher
COMPOUND_ID/state_group	state group
COMPOUND_ID/assessment_information	assessment information
COMPOUND_ID/impeachment_inquiry	impeachment inquiry
COMPOUND_ID/defence_budget	defence budget
COMPOUND_ID/charge_sheet	charge sheet
COMPOUND_ID/communication_software	communication software
COMPOUND_ID/ground_substance	ground substance
COMPOUND_ID/tap_water	tap water
COMPOUND_ID/management_concern	management concern
COMPOUND_ID/fighter_bomber	fighter bomber
COMPOUND_ID/industry_spokesman	industry spokesman
COMPOUND_ID/piano_lesson	piano lesson
COMPOUND_ID/nitrogen_fixation	nitrogen fixation
COMPOUND_ID/league_team	league team
COMPOUND_ID/combat_helicopter	combat helicopter
COMPOUND_ID/business_service	business service
COMPOUND_ID/ditch_digger	ditch digger
COMPOUND_ID/rap_album	rap album
COMPOUND_ID/master_class	master class
COMPOUND_ID/medal_hope	medal hope
COMPOUND_ID/counter_revolutionist	counter revolutionist
COMPOUND_ID/investment_specialist	investment specialist
COMPOUND_ID/soul_searching	soul searching
COMPOUND_ID/wall_clock	wall clock
COMPOUND_ID/coconut_oil	coconut oil
COMPOUND_ID/poop_deck	poop deck
COMPOUND_ID/deficit_spending	deficit spending
COMPOUND_ID/army_camp	army camp
COMPOUND_ID/whale_killing	whale killing
COMPOUND_ID/cancer_surgery	cancer surgery
COMPOUND_ID/church_official	church official
COMPOUND_ID/trial_judge	trial judge
COMPOUND_ID/transition_team	transition team
COMPOUND_ID/news_broadcasting	news broadcasting
COMPOUND_ID/rock_face	rock face
COMPOUND_ID/production_cut	production cut
COMPOUND_ID/drug_death	drug death
COMPOUND_ID/celebrity_interview	celebrity interview
COMPOUND_ID/scrap_merchant	scrap merchant
COMPOUND_ID/shore_patrol	shore patrol
COMPOUND_ID/election_authority	election authority
COMPOUND_ID/soup_spoon	soup spoon
COMPOUND_ID/marathon_runner	marathon runner
COMPOUND_ID/egg_mixture	egg mixture
COMPOUND_ID/pennant_race	pennant race
COMPOUND_ID/crime_fighting	crime fighting
COMPOUND_ID/investment_newsletter	investment newsletter
COMPOUND_ID/alloy_wheel	alloy wheel
COMPOUND_ID/trend_analysis	trend analysis
COMPOUND_ID/point_source	point source
COMPOUND_ID/plastic_plant	plastic plant
COMPOUND_ID/winter_wren	winter wren
COMPOUND_ID/paper_toweling	paper toweling
COMPOUND_ID/newspaper_division	newspaper division
COMPOUND_ID/musk_thistle	musk thistle
COMPOUND_ID/evening_party	evening party
COMPOUND_ID/iliac_vein	iliac vein
COMPOUND_ID/blood_serum	blood serum
COMPOUND_ID/barrel_vault	barrel vault
COMPOUND_ID/plant_hormone	plant hormone
COMPOUND_ID/tea_tray	tea tray
COMPOUND_ID/slide_action	slide action
COMPOUND_ID/design_house	design house
COMPOUND_ID/moving_van	moving van
COMPOUND_ID/minute_ride	minute ride
COMPOUND_ID/defense_plan	defense plan
COMPOUND_ID/aerospace_product	aerospace product
COMPOUND_ID/doubles_champion	doubles champion
COMPOUND_ID/government_panel	government panel
COMPOUND_ID/exercise_machine	exercise machine
COMPOUND_ID/property_asset	property asset
COMPOUND_ID/soybean_planting	soybean planting
COMPOUND_ID/substance_abuser	substance abuser
COMPOUND_ID/grape_jelly	grape jelly
COMPOUND_ID/crime_group	crime group
COMPOUND_ID/playing_card	playing card
COMPOUND_ID/carrying_charge	carrying charge
COMPOUND_ID/bank_vault	bank vault
COMPOUND_ID/danger_level	danger level
COMPOUND_ID/crash_site	crash site
COMPOUND_ID/wool_stapler	wool stapler
COMPOUND_ID/watershed_event	watershed event
COMPOUND_ID/subcommittee_hearing	subcommittee hearing
COMPOUND_ID/defense_complex	defense complex
COMPOUND_ID/blood_knot	blood knot
COMPOUND_ID/service_delivery	service delivery
COMPOUND_ID/hurdle_race	hurdle race
COMPOUND_ID/day_conference	day conference
COMPOUND_ID/bean_sprout	bean sprout
COMPOUND_ID/consumption_pattern	consumption pattern
COMPOUND_ID/wildlife_conservation	wildlife conservation
COMPOUND_ID/film_room	film room
COMPOUND_ID/search_process	search process
COMPOUND_ID/detective_agency	detective agency
COMPOUND_ID/memory_image	memory image
COMPOUND_ID/motorway_network	motorway network
COMPOUND_ID/gene_pool	gene pool
COMPOUND_ID/sanctions_legislation	sanctions legislation
COMPOUND_ID/government_subsidy	government subsidy
COMPOUND_ID/baseball_mitt	baseball mitt
COMPOUND_ID/arms_issue	arms issue
COMPOUND_ID/operating_earnings	operating earnings
COMPOUND_ID/wind_chill	wind chill
COMPOUND_ID/weight_unit	weight unit
COMPOUND_ID/scale_value	scale value
COMPOUND_ID/milk_sugar	milk sugar
COMPOUND_ID/sand_painting	sand painting
COMPOUND_ID/hydrogen_cyanide	hydrogen cyanide
COMPOUND_ID/year_while	year while
COMPOUND_ID/payment_plan	payment plan
COMPOUND_ID/safety_guideline	safety guideline
COMPOUND_ID/navy_admiral	navy admiral
COMPOUND_ID/line_backer	line backer
COMPOUND_ID/investment_area	investment area
COMPOUND_ID/army_man	army man
COMPOUND_ID/heat_lightning	heat lightning
COMPOUND_ID/generation_system	generation system
COMPOUND_ID/cigarette_company	cigarette company
COMPOUND_ID/foot_patrol	foot patrol
COMPOUND_ID/furniture_sale	furniture sale
COMPOUND_ID/grazing_land	grazing land
COMPOUND_ID/switching_system	switching system
COMPOUND_ID/fusion_reaction	fusion reaction
COMPOUND_ID/grant_money	grant money
COMPOUND_ID/record_office	record office
COMPOUND_ID/baby_walker	baby walker
COMPOUND_ID/homeobox_gene	homeobox gene
COMPOUND_ID/eucalyptus_tree	eucalyptus tree
COMPOUND_ID/school_facility	school facility
COMPOUND_ID/admission_charge	admission charge
COMPOUND_ID/sales_talk	sales talk
COMPOUND_ID/lead_prosecutor	lead prosecutor
COMPOUND_ID/fellow_traveller	fellow traveller
COMPOUND_ID/postseason_play	postseason play
COMPOUND_ID/state_planning	state planning
COMPOUND_ID/elbow_room	elbow room
COMPOUND_ID/field_winding	field winding
COMPOUND_ID/semifinal_victory	semifinal victory
COMPOUND_ID/business_executive	business executive
COMPOUND_ID/self_accusation	self accusation
COMPOUND_ID/day_result	day result
COMPOUND_ID/self_destruction	self destruction
COMPOUND_ID/police_personnel	police personnel
COMPOUND_ID/propeller_plane	propeller plane
COMPOUND_ID/area_school	area school
COMPOUND_ID/core_benefit	core benefit
COMPOUND_ID/relief_food	relief food
COMPOUND_ID/plant_part	plant part
COMPOUND_ID/map_projection	map projection
COMPOUND_ID/police_surveillance	police surveillance
COMPOUND_ID/state_fund	state fund
COMPOUND_ID/policy_development	policy development
COMPOUND_ID/chocolate_eclair	chocolate eclair
COMPOUND_ID/defence_company	defence company
COMPOUND_ID/apartheid_system	apartheid system
COMPOUND_ID/accounting_procedure	accounting procedure
COMPOUND_ID/visa_application	visa application
COMPOUND_ID/sheep_bone	sheep bone
COMPOUND_ID/car_door	car door
COMPOUND_ID/tourist_town	tourist town
COMPOUND_ID/kaiser_roll	kaiser roll
COMPOUND_ID/beet_sugar	beet sugar
COMPOUND_ID/merit_badge	merit badge
COMPOUND_ID/housing_development	housing development
COMPOUND_ID/conditioning_system	conditioning system
COMPOUND_ID/processing_fee	processing fee
COMPOUND_ID/mortgage_insurance	mortgage insurance
COMPOUND_ID/port_city	port city
COMPOUND_ID/advance_fare	advance fare
COMPOUND_ID/compliance_officer	compliance officer
COMPOUND_ID/oil_tax	oil tax
COMPOUND_ID/software_development	software development
COMPOUND_ID/rebate_program	rebate program
COMPOUND_ID/accounting_record	accounting record
COMPOUND_ID/misdemeanor_assault	misdemeanor assault
COMPOUND_ID/bus_depot	bus depot
COMPOUND_ID/body_movement	body movement
COMPOUND_ID/water_contamination	water contamination
COMPOUND_ID/entertainment_producer	entertainment producer
COMPOUND_ID/heart_leaf	heart leaf
COMPOUND_ID/nose_dive	nose dive
COMPOUND_ID/afternoon_practice	afternoon practice
COMPOUND_ID/rookie_coach	rookie coach
COMPOUND_ID/pilot_project	pilot project
COMPOUND_ID/detention_hearing	detention hearing
COMPOUND_ID/evening_session	evening session
COMPOUND_ID/control_change	control change
COMPOUND_ID/plane_ride	plane ride
COMPOUND_ID/basketball_shoe	basketball shoe
COMPOUND_ID/betel_leaf	betel leaf
COMPOUND_ID/sea_trout	sea trout
COMPOUND_ID/healing_power	healing power
COMPOUND_ID/aluminium_chloride	aluminium chloride
COMPOUND_ID/feeding_tube	feeding tube
COMPOUND_ID/champagne_cork	champagne cork
COMPOUND_ID/half_moon	half moon
COMPOUND_ID/gas_company	gas company
COMPOUND_ID/voter_guide	voter guide
COMPOUND_ID/group_activity	group activity
COMPOUND_ID/pocket_mouse	pocket mouse
COMPOUND_ID/tv_evangelist	tv evangelist
COMPOUND_ID/sporting_life	sporting life
COMPOUND_ID/discount_brokerage	discount brokerage
COMPOUND_ID/holding_company	holding company
COMPOUND_ID/trade_book	trade book
COMPOUND_ID/exchange_member	exchange member
COMPOUND_ID/bus_queue	bus queue
COMPOUND_ID/check_mark	check mark
COMPOUND_ID/leather_pant	leather pant
COMPOUND_ID/needle_cast	needle cast
COMPOUND_ID/telephone_cord	telephone cord
COMPOUND_ID/crab_grass	crab grass
COMPOUND_ID/time_selection	time selection
COMPOUND_ID/tourism_industry	tourism industry
COMPOUND_ID/system_development	system development
COMPOUND_ID/alcohol_content	alcohol content
COMPOUND_ID/student_activist	student activist
COMPOUND_ID/book_sale	book sale
COMPOUND_ID/prevention_measure	prevention measure
COMPOUND_ID/sea_bass	sea bass
COMPOUND_ID/guerrilla_action	guerrilla action
COMPOUND_ID/personality_inventory	personality inventory
COMPOUND_ID/bank_sector	bank sector
COMPOUND_ID/night_porter	night porter
COMPOUND_ID/resistance_level	resistance level
COMPOUND_ID/skunk_cabbage	skunk cabbage
COMPOUND_ID/express_mail	express mail
COMPOUND_ID/batting_glove	batting glove
COMPOUND_ID/state_official	state official
COMPOUND_ID/end_man	end man
COMPOUND_ID/carboxyl_group	carboxyl group
COMPOUND_ID/video_report	video report
COMPOUND_ID/party_building	party building
COMPOUND_ID/caramelized_sugar	caramelized sugar
COMPOUND_ID/ginger_spice	ginger spice
COMPOUND_ID/radiation_therapy	radiation therapy
COMPOUND_ID/fish_ball	fish ball
COMPOUND_ID/race_runner	race runner
COMPOUND_ID/minority_people	minority people
COMPOUND_ID/contact_group	contact group
COMPOUND_ID/section_chief	section chief
COMPOUND_ID/lunch_program	lunch program
COMPOUND_ID/bed_wetting	bed wetting
COMPOUND_ID/math_exam	math exam
COMPOUND_ID/sleep_talking	sleep talking
COMPOUND_ID/water_nymph	water nymph
COMPOUND_ID/skin_flick	skin flick
COMPOUND_ID/side_road	side road
COMPOUND_ID/press_service	press service
COMPOUND_ID/communications_gear	communications gear
COMPOUND_ID/money_belt	money belt
COMPOUND_ID/bass_fiddle	bass fiddle
COMPOUND_ID/aluminium_smelter	aluminium smelter
COMPOUND_ID/bicycle_clip	bicycle clip
COMPOUND_ID/stair_climber	stair climber
COMPOUND_ID/bank_line	bank line
COMPOUND_ID/spending_figure	spending figure
COMPOUND_ID/sedimentation_rate	sedimentation rate
COMPOUND_ID/spot_weld	spot weld
COMPOUND_ID/spring_equinox	spring equinox
COMPOUND_ID/utility_program	utility program
COMPOUND_ID/minority_firm	minority firm
COMPOUND_ID/business_ethic	business ethic
COMPOUND_ID/dealer_lot	dealer lot
COMPOUND_ID/employment_gain	employment gain
COMPOUND_ID/haw_haw	haw haw
COMPOUND_ID/stat_sheet	stat sheet
COMPOUND_ID/defending_team	defending team
COMPOUND_ID/phone_record	phone record
COMPOUND_ID/chemical_engineering	chemical engineering
COMPOUND_ID/credit_restriction	credit restriction
COMPOUND_ID/milk_powder	milk powder
COMPOUND_ID/shift_register	shift register
COMPOUND_ID/bus_passenger	bus passenger
COMPOUND_ID/state_license	state license
COMPOUND_ID/word_play	word play
COMPOUND_ID/system_crash	system crash
COMPOUND_ID/commodity_trader	commodity trader
COMPOUND_ID/prostate_surgery	prostate surgery
COMPOUND_ID/death_squad	death squad
COMPOUND_ID/chest_wound	chest wound
COMPOUND_ID/team_use	team use
COMPOUND_ID/board_member	board member
COMPOUND_ID/administration_chief	administration chief
COMPOUND_ID/hospital_trust	hospital trust
COMPOUND_ID/garment_bag	garment bag
COMPOUND_ID/gas_line	gas line
COMPOUND_ID/aircraft_program	aircraft program
COMPOUND_ID/pak_choi	pak choi
COMPOUND_ID/tariff_cut	tariff cut
COMPOUND_ID/child_story	child story
COMPOUND_ID/treatment_facility	treatment facility
COMPOUND_ID/sport_activity	sport activity
COMPOUND_ID/collection_effort	collection effort
COMPOUND_ID/nose_guard	nose guard
COMPOUND_ID/exchange_column	exchange column
COMPOUND_ID/sport_fish	sport fish
COMPOUND_ID/cricket_frog	cricket frog
COMPOUND_ID/town_meeting	town meeting
COMPOUND_ID/security_agent	security agent
COMPOUND_ID/city_councilwoman	city councilwoman
COMPOUND_ID/business_development	business development
COMPOUND_ID/gambling_house	gambling house
COMPOUND_ID/rocket_propellant	rocket propellant
COMPOUND_ID/government_manager	government manager
COMPOUND_ID/draft_horse	draft horse
COMPOUND_ID/banking_market	banking market
COMPOUND_ID/day_stay	day stay
COMPOUND_ID/redwood_tree	redwood tree
COMPOUND_ID/land_market	land market
COMPOUND_ID/ghetto_blaster	ghetto blaster
COMPOUND_ID/fellow_officer	fellow officer
COMPOUND_ID/pilot_scheme	pilot scheme
COMPOUND_ID/job_data	job data
COMPOUND_ID/rabbit_burrow	rabbit burrow
COMPOUND_ID/environment_issue	environment issue
COMPOUND_ID/marriage_licence	marriage licence
COMPOUND_ID/product_unit	product unit
COMPOUND_ID/mouse_deer	mouse deer
COMPOUND_ID/adoption_study	adoption study
COMPOUND_ID/fall_equinox	fall equinox
COMPOUND_ID/cleaning_woman	cleaning woman
COMPOUND_ID/television_journalist	television journalist
COMPOUND_ID/battery_life	battery life
COMPOUND_ID/deportation_hearing	deportation hearing
COMPOUND_ID/hospital_stay	hospital stay
COMPOUND_ID/guinea_pig	guinea pig
COMPOUND_ID/writing_desk	writing desk
COMPOUND_ID/telephone_bill	telephone bill
COMPOUND_ID/computer_mouse	computer mouse
COMPOUND_ID/rescue_equipment	rescue equipment
COMPOUND_ID/ballot_access	ballot access
COMPOUND_ID/information_technology	information technology
COMPOUND_ID/aviation_history	aviation history
COMPOUND_ID/limitation_period	limitation period
COMPOUND_ID/retailing_industry	retailing industry
COMPOUND_ID/wheat_farmer	wheat farmer
COMPOUND_ID/poverty_eradication	poverty eradication
COMPOUND_ID/defense_analyst	defense analyst
COMPOUND_ID/state_park	state park
COMPOUND_ID/sport_category	sport category
COMPOUND_ID/field_theory	field theory
COMPOUND_ID/computer_analysis	computer analysis
COMPOUND_ID/energy_official	energy official
COMPOUND_ID/diving_board	diving board
COMPOUND_ID/oil_price	oil price
COMPOUND_ID/year_affair	year affair
COMPOUND_ID/weapon_possession	weapon possession
COMPOUND_ID/touch_sensation	touch sensation
COMPOUND_ID/rent_control	rent control
COMPOUND_ID/marsh_orchid	marsh orchid
COMPOUND_ID/liability_insurance	liability insurance
COMPOUND_ID/ice_sculpture	ice sculpture
COMPOUND_ID/engineering_work	engineering work
COMPOUND_ID/cribbage_board	cribbage board
COMPOUND_ID/war_game	war game
COMPOUND_ID/scout_car	scout car
COMPOUND_ID/couch_grass	couch grass
COMPOUND_ID/bidding_war	bidding war
COMPOUND_ID/commodity_production	commodity production
COMPOUND_ID/pension_fund	pension fund
COMPOUND_ID/traveling_bag	traveling bag
COMPOUND_ID/pop_concert	pop concert
COMPOUND_ID/city_staff	city staff
COMPOUND_ID/jai_alai	jai alai
COMPOUND_ID/title_page	title page
COMPOUND_ID/marriage_broker	marriage broker
COMPOUND_ID/tax_law	tax law
COMPOUND_ID/mile_hike	mile hike
COMPOUND_ID/launch_area	launch area
COMPOUND_ID/km_southwest	km southwest
COMPOUND_ID/media_industry	media industry
COMPOUND_ID/coal_miner	coal miner
COMPOUND_ID/water_sprinkler	water sprinkler
COMPOUND_ID/radiocarbon_dating	radiocarbon dating
COMPOUND_ID/faux_pas	faux pas
COMPOUND_ID/year_absence	year absence
COMPOUND_ID/banking_customer	banking customer
COMPOUND_ID/display_system	display system
COMPOUND_ID/treatment_project	treatment project
COMPOUND_ID/title_contender	title contender
COMPOUND_ID/metal_wood	metal wood
COMPOUND_ID/sewage_works	sewage works
COMPOUND_ID/ham_sandwich	ham sandwich
COMPOUND_ID/state_service	state service
COMPOUND_ID/sports_program	sports program
COMPOUND_ID/bush_honeysuckle	bush honeysuckle
COMPOUND_ID/pretax_profit	pretax profit
COMPOUND_ID/barley_grass	barley grass
COMPOUND_ID/lift_pump	lift pump
COMPOUND_ID/education_expense	education expense
COMPOUND_ID/water_condition	water condition
COMPOUND_ID/research_contract	research contract
COMPOUND_ID/seat_license	seat license
COMPOUND_ID/jury_room	jury room
COMPOUND_ID/transmission_facility	transmission facility
COMPOUND_ID/sweat_pants	sweat pants
COMPOUND_ID/job_opening	job opening
COMPOUND_ID/fan_vaulting	fan vaulting
COMPOUND_ID/swearing-in_ceremony	swearing-in ceremony
COMPOUND_ID/crime_family	crime family
COMPOUND_ID/relief_project	relief project
COMPOUND_ID/lightning_strike	lightning strike
COMPOUND_ID/oil_palm	oil palm
COMPOUND_ID/hit_list	hit list
COMPOUND_ID/echo_sounding	echo sounding
COMPOUND_ID/clock_time	clock time
COMPOUND_ID/test_driver	test driver
COMPOUND_ID/bird_damage	bird damage
COMPOUND_ID/drinking_song	drinking song
COMPOUND_ID/television_series	television series
COMPOUND_ID/travelling_wave	travelling wave
COMPOUND_ID/city_center	city center
COMPOUND_ID/cargo_liner	cargo liner
COMPOUND_ID/cloth_diaper	cloth diaper
COMPOUND_ID/accounting_issue	accounting issue
COMPOUND_ID/arms_program	arms program
COMPOUND_ID/building_company	building company
COMPOUND_ID/signal_flag	signal flag
COMPOUND_ID/signatory_state	signatory state
COMPOUND_ID/adhesion_contract	adhesion contract
COMPOUND_ID/home_purchase	home purchase
COMPOUND_ID/air_hammer	air hammer
COMPOUND_ID/consumer_fear	consumer fear
COMPOUND_ID/debenture_holder	debenture holder
COMPOUND_ID/half_page	half page
COMPOUND_ID/accident_scene	accident scene
COMPOUND_ID/space_exploration	space exploration
COMPOUND_ID/wolf_pup	wolf pup
COMPOUND_ID/banking_institution	banking institution
COMPOUND_ID/world_tour	world tour
COMPOUND_ID/passenger_car	passenger car
COMPOUND_ID/master_key	master key
COMPOUND_ID/wage_concession	wage concession
COMPOUND_ID/state_policy	state policy
COMPOUND_ID/pygmy_marmoset	pygmy marmoset
COMPOUND_ID/computer_word	computer word
COMPOUND_ID/cable_railway	cable railway
COMPOUND_ID/transit_center	transit center
COMPOUND_ID/admission_policy	admission policy
COMPOUND_ID/romaine_lettuce	romaine lettuce
COMPOUND_ID/behavior_therapy	behavior therapy
COMPOUND_ID/exchange_house	exchange house
COMPOUND_ID/home_banking	home banking
COMPOUND_ID/corn_export	corn export
COMPOUND_ID/church_scene	church scene
COMPOUND_ID/degree_view	degree view
COMPOUND_ID/press_aide	press aide
COMPOUND_ID/clothing_price	clothing price
COMPOUND_ID/month_time	month time
COMPOUND_ID/pork_chop	pork chop
COMPOUND_ID/broadcasting_station	broadcasting station
COMPOUND_ID/food_security	food security
COMPOUND_ID/conversion_rate	conversion rate
COMPOUND_ID/maintenance_personnel	maintenance personnel
COMPOUND_ID/herpes_virus	herpes virus
COMPOUND_ID/price_bracket	price bracket
COMPOUND_ID/buying_interest	buying interest
COMPOUND_ID/lodgepole_pine	lodgepole pine
COMPOUND_ID/supply_industry	supply industry
COMPOUND_ID/drug_prevention	drug prevention
COMPOUND_ID/fertility_rate	fertility rate
COMPOUND_ID/area_manager	area manager
COMPOUND_ID/government_troop	government troop
COMPOUND_ID/charge_card	charge card
COMPOUND_ID/income_taxation	income taxation
COMPOUND_ID/city_bus	city bus
COMPOUND_ID/approach_path	approach path
COMPOUND_ID/frontage_road	frontage road
COMPOUND_ID/nationalist_leader	nationalist leader
COMPOUND_ID/tourist_bus	tourist bus
COMPOUND_ID/wax_paper	wax paper
COMPOUND_ID/featherweight_champion	featherweight champion
COMPOUND_ID/language_learning	language learning
COMPOUND_ID/dog_pound	dog pound
COMPOUND_ID/mind_set	mind set
COMPOUND_ID/quality_battery	quality battery
COMPOUND_ID/program_quality	program quality
COMPOUND_ID/wine_merchant	wine merchant
COMPOUND_ID/water_pollution	water pollution
COMPOUND_ID/media_firm	media firm
COMPOUND_ID/courthouse_square	courthouse square
COMPOUND_ID/tennis_racquet	tennis racquet
COMPOUND_ID/dollar_sale	dollar sale
COMPOUND_ID/state_government	state government
COMPOUND_ID/implementation_force	implementation force
COMPOUND_ID/peace_effort	peace effort
COMPOUND_ID/retirement_date	retirement date
COMPOUND_ID/air_terminal	air terminal
COMPOUND_ID/ski_lift	ski lift
COMPOUND_ID/wing_loading	wing loading
COMPOUND_ID/division_director	division director
COMPOUND_ID/earth_closet	earth closet
COMPOUND_ID/computer_age	computer age
COMPOUND_ID/security_meeting	security meeting
COMPOUND_ID/peace_treaty	peace treaty
COMPOUND_ID/molestation_case	molestation case
COMPOUND_ID/grain_field	grain field
COMPOUND_ID/soul_music	soul music
COMPOUND_ID/parish_church	parish church
COMPOUND_ID/slip_road	slip road
COMPOUND_ID/air_mile	air mile
COMPOUND_ID/star_forward	star forward
COMPOUND_ID/store_manager	store manager
COMPOUND_ID/tax_money	tax money
COMPOUND_ID/bug_problem	bug problem
COMPOUND_ID/kettle_hole	kettle hole
COMPOUND_ID/work_shoe	work shoe
COMPOUND_ID/service_entrance	service entrance
COMPOUND_ID/rescue_team	rescue team
COMPOUND_ID/set_point	set point
COMPOUND_ID/exchange_activity	exchange activity
COMPOUND_ID/drug_price	drug price
COMPOUND_ID/state_institute	state institute
COMPOUND_ID/intelligence_information	intelligence information
COMPOUND_ID/oil_stain	oil stain
COMPOUND_ID/land_management	land management
COMPOUND_ID/egg_noodle	egg noodle
COMPOUND_ID/deputy_manager	deputy manager
COMPOUND_ID/food_need	food need
COMPOUND_ID/music_class	music class
COMPOUND_ID/cling_film	cling film
COMPOUND_ID/day_festival	day festival
COMPOUND_ID/control_product	control product
COMPOUND_ID/missile_component	missile component
COMPOUND_ID/service_office	service office
COMPOUND_ID/liberty_cap	liberty cap
COMPOUND_ID/networking_equipment	networking equipment
COMPOUND_ID/tax_implication	tax implication
COMPOUND_ID/employment_cost	employment cost
COMPOUND_ID/traffic_school	traffic school
COMPOUND_ID/skipjack_tuna	skipjack tuna
COMPOUND_ID/car_radio	car radio
COMPOUND_ID/audio_tape	audio tape
COMPOUND_ID/patient_right	patient right
COMPOUND_ID/zinc_sulfate	zinc sulfate
COMPOUND_ID/oil_operation	oil operation
COMPOUND_ID/hostage_negotiator	hostage negotiator
COMPOUND_ID/family_entertainment	family entertainment
COMPOUND_ID/litigation_cost	litigation cost
COMPOUND_ID/love_scene	love scene
COMPOUND_ID/embassy_personnel	embassy personnel
COMPOUND_ID/antique_dealer	antique dealer
COMPOUND_ID/tone_language	tone language
COMPOUND_ID/camping_site	camping site
COMPOUND_ID/evening_shift	evening shift
COMPOUND_ID/export_earnings	export earnings
COMPOUND_ID/virus_antibody	virus antibody
COMPOUND_ID/sodium_chloride	sodium chloride
COMPOUND_ID/error_margin	error margin
COMPOUND_ID/blame_game	blame game
COMPOUND_ID/tablespoons_sugar	tablespoons sugar
COMPOUND_ID/codling_moth	codling moth
COMPOUND_ID/video_image	video image
COMPOUND_ID/cherry_pepper	cherry pepper
COMPOUND_ID/conference_house	conference house
COMPOUND_ID/peace_sign	peace sign
COMPOUND_ID/quarter_plate	quarter plate
COMPOUND_ID/casting_director	casting director
COMPOUND_ID/almond_cookie	almond cookie
COMPOUND_ID/team_doctor	team doctor
COMPOUND_ID/boys_school	boys school
COMPOUND_ID/soybean_field	soybean field
COMPOUND_ID/wind_turbine	wind turbine
COMPOUND_ID/market_share	market share
COMPOUND_ID/writing_program	writing program
COMPOUND_ID/weight_control	weight control
COMPOUND_ID/cat_scratch	cat scratch
COMPOUND_ID/computer_simulation	computer simulation
COMPOUND_ID/property_market	property market
COMPOUND_ID/count_palatine	count palatine
COMPOUND_ID/government_financing	government financing
COMPOUND_ID/draft_form	draft form
COMPOUND_ID/defense_plant	defense plant
COMPOUND_ID/information_revolution	information revolution
COMPOUND_ID/tax_cut	tax cut
COMPOUND_ID/gluteus_maximus	gluteus maximus
COMPOUND_ID/service_life	service life
COMPOUND_ID/government_investment	government investment
COMPOUND_ID/weed_whacker	weed whacker
COMPOUND_ID/bell_book	bell book
COMPOUND_ID/fountain_pen	fountain pen
COMPOUND_ID/war_vessel	war vessel
COMPOUND_ID/flight_attendant	flight attendant
COMPOUND_ID/celebrity_chef	celebrity chef
COMPOUND_ID/labor_law	labor law
COMPOUND_ID/world_beater	world beater
COMPOUND_ID/savings_vehicle	savings vehicle
COMPOUND_ID/pasta_sauce	pasta sauce
COMPOUND_ID/winter_season	winter season
COMPOUND_ID/tablespoons_oil	tablespoons oil
COMPOUND_ID/network_management	network management
COMPOUND_ID/murder_conviction	murder conviction
COMPOUND_ID/rate_rise	rate rise
COMPOUND_ID/gene_splicing	gene splicing
